net,length_um
net58,127.85µm
net66,109.25µm
net65,101.325µm
net37,95.915µm
net61,95.73µm
net76,91.41µm
net71,90.32µm
net72,90.17µm
net59,86.515µm
_111_,84.05µm
net69,82.95µm
net75,80.425µm
clk,72.315µm
net68,69.14µm
net73,66.525µm
net35,64.78µm
_022_,62.6µm
net62,62.59µm
net63,62.265µm
net57,62.065µm
net53,61.495µm
_101_,60.7µm
clknet_1_0__leaf_clk,60.415µm
net67,54.895µm
net60,53.675µm
_009_,51.555µm
DPATH.SUM.ha_0.S,51.37µm
_109_,51.32µm
net54,50.135µm
_015_,49.42µm
net56,48.255µm
net64,48.01µm
net77,47.72µm
net14,47.36µm
net4,47.31µm
_099_,46.825µm
_118_,46.11µm
_045_,46.085µm
net10,45.65µm
net70,44.56µm
sine_out[32],43.325µm
net55,42.995µm
sine_out[31],42.975µm
net26,40.945µm
sine_out[30],40.465µm
_119_,39.85µm
net74,39.44µm
_065_,38.835µm
clknet_1_1__leaf_clk,38.77µm
_114_,37.905µm
_014_,37.56µm
sine_out[29],37.335µm
clknet_0_clk,36.465µm
_117_,36.02µm
net36,35.88µm
_110_,34.87µm
net9,34.185µm
net20,33.43µm
sine_out[28],32.645µm
_102_,32.53µm
sine_out[27],32.165µm
net21,31.74µm
net24,31.5µm
DPATH.SUM.fa_4.A,30.72µm
_068_,30.67µm
_077_,30.54µm
_122_,30.52µm
_058_,29.94µm
sine_out[0],29.885µm
net3,29.83µm
_096_,29.38µm
net27,29.11µm
_029_,27.91µm
sine_out[1],27.845µm
_121_,27.675µm
sine_out[26],27.485µm
sine_out[25],27.005µm
sine_out[24],26.525µm
_108_,26.07µm
net22,25.75µm
_037_,25.605µm
net30,24.66µm
sine_out[11],24.605µm
sine_out[6],24.125µm
_078_,23.74µm
sine_out[2],23.645µm
_049_,23.475µm
net12,23.28µm
_107_,22.94µm
sine_out[23],22.685µm
_041_,22.65µm
_035_,22.44µm
_075_,22.22µm
_052_,22.2µm
net19,22.065µm
net2,21.9µm
sine_out[22],21.725µm
sine_out[12],21.615µm
sine_out[21],21.245µm
sine_out[7],21.245µm
sine_out[8],21.245µm
_054_,21.24µm
net7,20.89µm
sine_out[13],20.765µm
sine_out[19],20.765µm
sine_out[20],20.765µm
sine_out[3],20.765µm
sine_out[4],20.765µm
sine_out[9],20.765µm
_019_,20.655µm
net13,20.53µm
sine_out[14],20.285µm
sine_out[5],20.285µm
net1,19.825µm
sine_out[10],19.805µm
sine_out[15],19.805µm
sine_out[18],19.805µm
_106_,19.71µm
_006_,19.56µm
net28,19.56µm
sine_out[16],19.325µm
sine_out[17],19.325µm
net8,19.26µm
_031_,19.14µm
_005_,18.91µm
net31,18.72µm
_042_,18.465µm
net17,18.43µm
_051_,18.31µm
_011_,17.905µm
DPATH.SUM.fa_5.A,17.635µm
_059_,17.53µm
net18,17.47µm
_066_,17.11µm
_076_,16.835µm
_030_,16.74µm
_124_,16.075µm
_032_,15.36µm
_033_,15.01µm
_044_,14.89µm
net15,14.77µm
DPATH.SUM.Cout0,14.66µm
_088_,14.66µm
net11,14.41µm
_053_,13.5µm
net32,13.44µm
CTRL.P1,13.33µm
_085_,13.33µm
_091_,13.2µm
DPATH.SUM.fa_6.A,12.91µm
_116_,12.84µm
_018_,12.8µm
net34,12.79µm
_040_,12.61µm
_012_,12.43µm
_067_,12.01µm
_000_,12µm
net23,11.89µm
_060_,11.78µm
_020_,11.71µm
_098_,11.56µm
_026_,11.53µm
_070_,11.52µm
net6,11.395µm
_038_,11.29µm
_047_,11.22µm
net16,11.04µm
DPATH.SUM.fa_3.S,10.93µm
_079_,10.915µm
_095_,10.88µm
_025_,10.69µm
_082_,10.32µm
_087_,10.14µm
_081_,10.08µm
_086_,9.91µm
_050_,9.85µm
_104_,9.66µm
_007_,9.61µm
_061_,9.535µm
_084_,9.48µm
net25,9.18µm
_028_,9.13µm
_092_,9.07µm
_036_,9.01µm
_057_,8.83µm
DPATH.SUM.fa_6.S,8.58µm
_013_,8.58µm
sign,8.52µm
_112_,8.48µm
_034_,8.29µm
_043_,8.16µm
_002_,8.11µm
_021_,8.02µm
_062_,7.99µm
_016_,7.885µm
CTRL.P0,7.69µm
rst,7.685µm
_089_,7.68µm
_115_,7.62µm
_074_,7.555µm
net39,7.26µm
signB,7.21µm
_090_,6.78µm
_120_,6.73µm
_080_,6.06µm
_123_,5.82µm
_073_,5.77µm
_094_,5.755µm
_100_,5.66µm
_024_,5.485µm
net5,5.445µm
_071_,5.4µm
DPATH.SUM.fa_3.A,5.34µm
_004_,5.23µm
_001_,4.86µm
_063_,4.81µm
DPATH.SUM.fa_2.A,4.8µm
_039_,4.74µm
_055_,4.58µm
DPATH.SUM.fa_2.S,4.44µm
_017_,4.44µm
DPATH.SUM.fa_1.A,4.38µm
_093_,4.38µm
_069_,4.09µm
DPATH.SUM.fa_5.S,4.02µm
CTRL.S0,3.96µm
net38,3.96µm
_113_,3.94µm
_103_,3.9µm
_023_,3.78µm
_097_,3.66µm
_003_,3.62µm
_008_,3.48µm
_083_,3.48µm
_056_,3.07µm
_010_,3µm
_048_,2.755µm
_072_,2.52µm
_046_,2.28µm
_105_,2.17µm
DPATH.SUM.fa_1.S,2.1µm
DPATH.SUM.fa_4.S,1.86µm
net33,1.8µm
net29,1.44µm
_027_,1.38µm
_064_,1.38µm
