metric,json_key,direction,why_it_matters
lint_errors,design__lint_error__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
lint_warnings,design__lint_warning__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
flow_errors,flow__errors__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
flow_warnings,flow__warnings__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
drc_errors_route,route__drc_errors,lower,Lower is better (errors/area/power/wirelength/IR drop).
drc_errors_magic,magic__drc_error__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
drc_errors_klayout,klayout__drc_error__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
lvs_errors,design__lvs_error__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
setup_wns,timing__setup__wns,higher,"Higher is better (slack closer to +, TNS closer to 0)."
setup_tns,timing__setup__tns,higher,"Higher is better (slack closer to +, TNS closer to 0)."
setup_vio_count,timing__setup_vio__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
hold_wns,timing__hold__wns,higher,"Higher is better (slack closer to +, TNS closer to 0)."
hold_tns,timing__hold__tns,higher,"Higher is better (slack closer to +, TNS closer to 0)."
hold_vio_count,timing__hold_vio__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
setup_ws_worst,timing__setup__ws,higher,"Higher is better (slack closer to +, TNS closer to 0)."
hold_ws_worst,timing__hold__ws,higher,"Higher is better (slack closer to +, TNS closer to 0)."
clk_skew_setup_worst,clock__skew__worst_setup,abs_lower,Closer to 0 is better (skew magnitude).
clk_skew_hold_worst,clock__skew__worst_hold,abs_lower,Closer to 0 is better (skew magnitude).
p_total,power__total,lower,Lower is better (errors/area/power/wirelength/IR drop).
p_internal,power__internal__total,lower,Lower is better (errors/area/power/wirelength/IR drop).
p_switching,power__switching__total,lower,Lower is better (errors/area/power/wirelength/IR drop).
p_leakage,power__leakage__total,lower,Lower is better (errors/area/power/wirelength/IR drop).
core_area,design__core__area,lower,Lower is better (errors/area/power/wirelength/IR drop).
die_area,design__die__area,lower,Lower is better (errors/area/power/wirelength/IR drop).
inst_area_total,design__instance__area,lower,Lower is better (errors/area/power/wirelength/IR drop).
stdcell_area,design__instance__area__stdcell,lower,Lower is better (errors/area/power/wirelength/IR drop).
utilization,design__instance__utilization,lower,Lower is better (errors/area/power/wirelength/IR drop).
inst_count_total,design__instance__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
stdcell_count,design__instance__count__stdcell,lower,Lower is better (errors/area/power/wirelength/IR drop).
timing_repair_buf_count,design__instance__count__class:timing_repair_buffer,lower,Lower is better (errors/area/power/wirelength/IR drop).
hold_buf_count,design__instance__count__hold_buffer,lower,Lower is better (errors/area/power/wirelength/IR drop).
clk_buf_count,design__instance__count__class:clock_buffer,lower,Lower is better (errors/area/power/wirelength/IR drop).
wirelength,route__wirelength,lower,Lower is better (errors/area/power/wirelength/IR drop).
vias,route__vias,lower,Lower is better (errors/area/power/wirelength/IR drop).
global_wirelength,global_route__wirelength,lower,Lower is better (errors/area/power/wirelength/IR drop).
global_vias,global_route__vias,lower,Lower is better (errors/area/power/wirelength/IR drop).
ir_drop_worst,ir__drop__worst,lower,Lower is better (errors/area/power/wirelength/IR drop).
ir_drop_avg,ir__drop__avg,lower,Lower is better (errors/area/power/wirelength/IR drop).
antenna_violations,route__antenna_violation__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
unannotated_nets,timing__unannotated_net__count,lower,Lower is better (errors/area/power/wirelength/IR drop).
